us_code,cn_code,y_col,bucket,count,cn_mean,cn_median,cn_pct_down
SPX,HS300,cn_ret_cc,us_le_-2pct,95,-0.0071665984217235135,-0.0055275255795067535,0.631578947368421
SPX,HS300,cn_ret_cc,us_in_-2_-1pct,206,-0.0043690110705559134,-0.003558756889782355,0.6262135922330098
SPX,HS300,cn_ret_cc,us_in_-1_0pct,955,-0.00047914971692247446,-0.0006319710407586276,0.5277486910994764
SPX,HS300,cn_ret_cc,us_in_0_1pct,1133,0.001366119724822202,0.0012052625920848659,0.440423654015887
SPX,HS300,cn_ret_cc,us_in_1_2pct,304,0.0019704104151324494,0.0017684316095497588,0.40789473684210525
SPX,HS300,cn_ret_cc,us_ge_2pct,69,0.0060672886650244805,0.0033876430548982484,0.34782608695652173
SPX,HS300,cn_ret_oc,us_le_-2pct,95,0.004402341655036157,0.0025420872642198944,0.4105263157894737
SPX,HS300,cn_ret_oc,us_in_-2_-1pct,206,0.0011554877447994775,0.0012139511199130704,0.4174757281553398
SPX,HS300,cn_ret_oc,us_in_-1_0pct,955,0.0006345076840408656,0.0002928081762307855,0.4827225130890052
SPX,HS300,cn_ret_oc,us_in_0_1pct,1133,0.0008515583369695554,0.0010096578183431681,0.45454545454545453
SPX,HS300,cn_ret_oc,us_in_1_2pct,304,-0.0002970078183493412,-0.0002290118136996644,0.5098684210526315
SPX,HS300,cn_ret_oc,us_ge_2pct,69,-0.000372890532481921,-0.0014945420388322583,0.5797101449275363
SPX,ZZ500,cn_ret_cc,us_le_-2pct,95,-0.007306073145432944,-0.0031323956016797716,0.5894736842105263
SPX,ZZ500,cn_ret_cc,us_in_-2_-1pct,206,-0.0043834705839502185,-0.002264188122156119,0.558252427184466
SPX,ZZ500,cn_ret_cc,us_in_-1_0pct,955,-0.0005885351593040654,-0.0002890266488128068,0.5214659685863874
SPX,ZZ500,cn_ret_cc,us_in_0_1pct,1133,0.001475140999033422,0.0016163182078685612,0.4298323036187114
SPX,ZZ500,cn_ret_cc,us_in_1_2pct,304,0.0026237215893987185,0.0021606028028529067,0.40789473684210525
SPX,ZZ500,cn_ret_cc,us_ge_2pct,69,0.007052850480683978,0.005311790393823124,0.3333333333333333
SPX,ZZ500,cn_ret_oc,us_le_-2pct,95,0.005637616643083841,0.004665077941871765,0.37894736842105264
SPX,ZZ500,cn_ret_oc,us_in_-2_-1pct,206,0.0013834705862270954,0.002296536263972415,0.4223300970873786
SPX,ZZ500,cn_ret_oc,us_in_-1_0pct,955,0.0005094187802228146,0.0005898321044479626,0.4743455497382199
SPX,ZZ500,cn_ret_oc,us_in_0_1pct,1133,0.001029698692078808,0.0017808715638811812,0.4227714033539276
SPX,ZZ500,cn_ret_oc,us_in_1_2pct,304,0.0001132123178958737,-0.00037992509605683233,0.5164473684210527
SPX,ZZ500,cn_ret_oc,us_ge_2pct,69,0.0007970947605684269,0.0012001821651803635,0.463768115942029
SPX,ZZ1000,cn_ret_cc,us_le_-2pct,95,-0.007798923618594733,-0.0026257671964685647,0.5684210526315789
SPX,ZZ1000,cn_ret_cc,us_in_-2_-1pct,206,-0.0044818878689246115,-0.002041249529805056,0.5485436893203883
SPX,ZZ1000,cn_ret_cc,us_in_-1_0pct,955,-0.0006805538107507023,9.203234458832199e-05,0.4952879581151832
SPX,ZZ1000,cn_ret_cc,us_in_0_1pct,1133,0.0014405382612396218,0.0019887328146348526,0.4245366284201236
SPX,ZZ1000,cn_ret_cc,us_in_1_2pct,304,0.0028279139724546264,0.0032770756547886304,0.40789473684210525
SPX,ZZ1000,cn_ret_cc,us_ge_2pct,69,0.008445744581168594,0.008443521499913675,0.30434782608695654
SPX,ZZ1000,cn_ret_oc,us_le_-2pct,95,0.0059403173767480204,0.006423494987240597,0.35789473684210527
SPX,ZZ1000,cn_ret_oc,us_in_-2_-1pct,206,0.001462453723802755,0.002157177552305156,0.4029126213592233
SPX,ZZ1000,cn_ret_oc,us_in_-1_0pct,955,0.0007282397683857461,0.0010579242868686833,0.4607329842931937
SPX,ZZ1000,cn_ret_oc,us_in_0_1pct,1133,0.0011947534968926269,0.0018473793230664448,0.4263018534863195
SPX,ZZ1000,cn_ret_oc,us_in_1_2pct,304,0.0004866423145032544,0.0006537468443518213,0.4605263157894737
SPX,ZZ1000,cn_ret_oc,us_ge_2pct,69,0.0021430534320210116,0.002195438210974121,0.37681159420289856
SPX,SSE50,cn_ret_cc,us_le_-2pct,95,-0.006550640373078801,-0.00520105304543006,0.6421052631578947
SPX,SSE50,cn_ret_cc,us_in_-2_-1pct,206,-0.004197291126617643,-0.0031612257095069984,0.6116504854368932
SPX,SSE50,cn_ret_cc,us_in_-1_0pct,955,-0.0003546716071768149,-0.0009310083267040081,0.5403141361256545
SPX,SSE50,cn_ret_cc,us_in_0_1pct,1133,0.00124352941085317,0.0009047835530635595,0.45189761694616065
SPX,SSE50,cn_ret_cc,us_in_1_2pct,304,0.0013662489844559306,0.0016464836295189134,0.4144736842105263
SPX,SSE50,cn_ret_cc,us_ge_2pct,69,0.005008261933901942,0.0029574927161926112,0.4057971014492754
SPX,SSE50,cn_ret_oc,us_le_-2pct,95,0.003627271247657727,0.0034744482285782308,0.43157894736842106
SPX,SSE50,cn_ret_oc,us_in_-2_-1pct,206,0.0008915102645971014,0.001004596808519942,0.48058252427184467
SPX,SSE50,cn_ret_oc,us_in_-1_0pct,955,0.0006530162684186404,-4.0330796334142605e-05,0.5015706806282723
SPX,SSE50,cn_ret_oc,us_in_0_1pct,1133,0.0007096156617465688,0.0003659175795376335,0.4819064430714916
SPX,SSE50,cn_ret_oc,us_in_1_2pct,304,-0.0005393015188463505,-2.7849591310413757e-05,0.5032894736842105
SPX,SSE50,cn_ret_oc,us_ge_2pct,69,-0.0011764279371281263,-0.0021556932031341347,0.6231884057971014
NDX,HS300,cn_ret_cc,us_le_-2pct,170,-0.0071306266935666045,-0.0050021241669623295,0.6764705882352942
NDX,HS300,cn_ret_cc,us_in_-2_-1pct,251,-0.0028956976564480912,-0.0033630074565513812,0.601593625498008
NDX,HS300,cn_ret_cc,us_in_-1_0pct,783,-5.574621484812133e-05,-0.00015523306284115357,0.5070242656449553
NDX,HS300,cn_ret_cc,us_in_0_1pct,1047,0.0012351912531216255,0.0010048761705305775,0.4584527220630373
NDX,HS300,cn_ret_cc,us_in_1_2pct,374,0.0017983353552993003,0.0019317044835072128,0.39037433155080214
NDX,HS300,cn_ret_cc,us_ge_2pct,137,0.003969952504028365,0.0026010815702854906,0.3722627737226277
NDX,HS300,cn_ret_oc,us_le_-2pct,170,0.00217610820450948,0.0012332283538367683,0.45294117647058824
NDX,HS300,cn_ret_oc,us_in_-2_-1pct,251,0.00087198603937404,0.001074362683820329,0.44223107569721115
NDX,HS300,cn_ret_oc,us_in_-1_0pct,783,0.0009180227668275819,0.0004968350073428773,0.46998722860791825
NDX,HS300,cn_ret_oc,us_in_0_1pct,1047,0.0008982046577231337,0.0009317423892225563,0.45558739255014324
NDX,HS300,cn_ret_oc,us_in_1_2pct,374,7.156996153031802e-05,0.0005396609224405102,0.47593582887700536
NDX,HS300,cn_ret_oc,us_ge_2pct,137,-0.0011956395338740453,-0.0017793043331185698,0.6204379562043796
NDX,ZZ500,cn_ret_cc,us_le_-2pct,170,-0.007041155805955078,-0.0035732980198331377,0.6058823529411764
NDX,ZZ500,cn_ret_cc,us_in_-2_-1pct,251,-0.0033283231020959586,-0.0024248123704092572,0.5737051792828686
NDX,ZZ500,cn_ret_cc,us_in_-1_0pct,783,-1.70871053101448e-05,0.0002495238185620252,0.4942528735632184
NDX,ZZ500,cn_ret_cc,us_in_0_1pct,1047,0.0013558529911997822,0.001247098819672443,0.44603629417383
NDX,ZZ500,cn_ret_cc,us_in_1_2pct,374,0.002189662752529866,0.0024869079201681465,0.4117647058823529
NDX,ZZ500,cn_ret_cc,us_ge_2pct,137,0.004406880801955951,0.0037995818676104243,0.35036496350364965
NDX,ZZ500,cn_ret_oc,us_le_-2pct,170,0.0031333503397551576,0.002275257158250499,0.4294117647058823
NDX,ZZ500,cn_ret_oc,us_in_-2_-1pct,251,0.00025641085028344944,0.0019441431477826843,0.46613545816733065
NDX,ZZ500,cn_ret_oc,us_in_-1_0pct,783,0.0010409725706010569,0.0010717283610592876,0.44699872286079184
NDX,ZZ500,cn_ret_oc,us_in_0_1pct,1047,0.0010182764742590737,0.0017336367158746757,0.43170964660936006
NDX,ZZ500,cn_ret_oc,us_in_1_2pct,374,0.00036155130776296165,0.0003395492684484802,0.48663101604278075
NDX,ZZ500,cn_ret_oc,us_ge_2pct,137,-0.0003674284919661075,-0.00011071157773290263,0.5109489051094891
NDX,ZZ1000,cn_ret_cc,us_le_-2pct,170,-0.007587414619610488,-0.004056021896585715,0.5882352941176471
NDX,ZZ1000,cn_ret_cc,us_in_-2_-1pct,251,-0.003364595392021739,-0.0019857888390845124,0.5697211155378487
NDX,ZZ1000,cn_ret_cc,us_in_-1_0pct,783,-8.408554329463494e-05,0.0003020629461951696,0.48020434227330777
NDX,ZZ1000,cn_ret_cc,us_in_0_1pct,1047,0.0012308773595115373,0.001520735867189149,0.43457497612225404
NDX,ZZ1000,cn_ret_cc,us_in_1_2pct,374,0.0025038327858837163,0.0033357616224082287,0.3877005347593583
NDX,ZZ1000,cn_ret_cc,us_ge_2pct,137,0.005368813076505765,0.00580855716915929,0.34306569343065696
NDX,ZZ1000,cn_ret_oc,us_le_-2pct,170,0.003165129441097065,0.0030304649542197692,0.4117647058823529
NDX,ZZ1000,cn_ret_oc,us_in_-2_-1pct,251,0.0003325900066474878,0.0018879317044591115,0.4342629482071713
NDX,ZZ1000,cn_ret_oc,us_in_-1_0pct,783,0.0013163407335249054,0.0014376891924807733,0.4482758620689655
NDX,ZZ1000,cn_ret_oc,us_in_0_1pct,1047,0.0011078193072349162,0.001754946522076306,0.43075453677172876
NDX,ZZ1000,cn_ret_oc,us_in_1_2pct,374,0.0008599541070454144,0.0014801220836233586,0.4385026737967914
NDX,ZZ1000,cn_ret_oc,us_ge_2pct,137,0.0005603920977053932,0.0007640724827400192,0.44525547445255476
NDX,SSE50,cn_ret_cc,us_le_-2pct,170,-0.006754554228169287,-0.005232498281169173,0.6705882352941176
NDX,SSE50,cn_ret_cc,us_in_-2_-1pct,251,-0.0023103897507019953,-0.0021006705986912344,0.5657370517928287
NDX,SSE50,cn_ret_cc,us_in_-1_0pct,783,5.278869762371069e-05,-0.0004951011156804075,0.5134099616858238
NDX,SSE50,cn_ret_cc,us_in_0_1pct,1047,0.0010593897480095675,0.0005457085115507798,0.47659980897803245
NDX,SSE50,cn_ret_cc,us_in_1_2pct,374,0.001291524897484277,0.0017220975297252972,0.4090909090909091
NDX,SSE50,cn_ret_cc,us_ge_2pct,137,0.003202930751688882,0.0017674428678631227,0.4306569343065693
NDX,SSE50,cn_ret_oc,us_le_-2pct,170,0.001360217167842423,0.001459180596894205,0.4823529411764706
NDX,SSE50,cn_ret_oc,us_in_-2_-1pct,251,0.0011942186811018376,0.0008546822078743244,0.47808764940239046
NDX,SSE50,cn_ret_oc,us_in_-1_0pct,783,0.0009135125364246777,0.00018288107288255695,0.49169859514687103
NDX,SSE50,cn_ret_oc,us_in_0_1pct,1047,0.0007174668143063187,0.0003736451854094991,0.48424068767908307
NDX,SSE50,cn_ret_oc,us_in_1_2pct,374,-0.00016977545311914653,0.0003373202389741481,0.4786096256684492
NDX,SSE50,cn_ret_oc,us_ge_2pct,137,-0.0016292852837987665,-0.003272741775229182,0.6423357664233577
RUT,HS300,cn_ret_cc,us_le_-2pct,157,-0.0071764664668472426,-0.004986840772462586,0.6815286624203821
RUT,HS300,cn_ret_cc,us_in_-2_-1pct,332,-0.0023401377315242435,-0.001522750417005836,0.5572289156626506
RUT,HS300,cn_ret_cc,us_in_-1_0pct,799,1.2662732559878032e-05,-2.292969598871597e-05,0.5018773466833542
RUT,HS300,cn_ret_cc,us_in_0_1pct,921,0.0014462333183488552,0.0008586136989667814,0.4560260586319218
RUT,HS300,cn_ret_cc,us_in_1_2pct,387,0.0011608793995514883,0.0012830516696387129,0.43669250645994834
RUT,HS300,cn_ret_cc,us_ge_2pct,166,0.0038512195606704553,0.003424559432645413,0.3493975903614458
RUT,HS300,cn_ret_oc,us_le_-2pct,157,0.0024124492775422727,0.0011759089872744877,0.445859872611465
RUT,HS300,cn_ret_oc,us_in_-2_-1pct,332,0.0008026852219448438,0.0006994499844072966,0.463855421686747
RUT,HS300,cn_ret_oc,us_in_-1_0pct,799,0.0007690144181317285,0.0006417301930177199,0.46057571964956195
RUT,HS300,cn_ret_oc,us_in_0_1pct,921,0.0011357186123815424,0.0008331120924649493,0.46254071661237783
RUT,HS300,cn_ret_oc,us_in_1_2pct,387,-0.0002313321900244393,0.00027313128906469863,0.4883720930232558
RUT,HS300,cn_ret_oc,us_ge_2pct,166,-0.0006334716363121113,-0.0004340109871833753,0.536144578313253
RUT,ZZ500,cn_ret_cc,us_le_-2pct,157,-0.0074281326105020236,-0.003885262445230686,0.6305732484076433
RUT,ZZ500,cn_ret_cc,us_in_-2_-1pct,332,-0.002151454052679389,-0.0007178636815365902,0.5301204819277109
RUT,ZZ500,cn_ret_cc,us_in_-1_0pct,799,0.0003566647339681612,0.0003228574099400916,0.4856070087609512
RUT,ZZ500,cn_ret_cc,us_in_0_1pct,921,0.001237423007392444,0.0013013069397642685,0.44625407166123776
RUT,ZZ500,cn_ret_cc,us_in_1_2pct,387,0.0015769424302940524,0.001816678341594935,0.42377260981912146
RUT,ZZ500,cn_ret_cc,us_ge_2pct,166,0.00386777689499753,0.003564948795937939,0.39156626506024095
RUT,ZZ500,cn_ret_oc,us_le_-2pct,157,0.0028651896083764315,0.002837232194350392,0.4267515923566879
RUT,ZZ500,cn_ret_oc,us_in_-2_-1pct,332,0.0010425586140141482,0.00183522280927928,0.4307228915662651
RUT,ZZ500,cn_ret_oc,us_in_-1_0pct,799,0.0011356233945852313,0.0011757934297156325,0.44806007509386736
RUT,ZZ500,cn_ret_oc,us_in_0_1pct,921,0.0009678130234915662,0.001248323958600528,0.44191096634093374
RUT,ZZ500,cn_ret_oc,us_in_1_2pct,387,4.4361336061540146e-05,0.00040953150056477483,0.4806201550387597
RUT,ZZ500,cn_ret_oc,us_ge_2pct,166,-0.00029351080794912007,-0.0002623052723444985,0.5
RUT,ZZ1000,cn_ret_cc,us_le_-2pct,157,-0.007982734875136505,-0.003955357443458318,0.5987261146496815
RUT,ZZ1000,cn_ret_cc,us_in_-2_-1pct,332,-0.0024423900870366973,-0.00028352829516065103,0.5180722891566265
RUT,ZZ1000,cn_ret_cc,us_in_-1_0pct,799,0.0006782225018098074,0.0007224933285898683,0.46057571964956195
RUT,ZZ1000,cn_ret_cc,us_in_0_1pct,921,0.0010759763479785498,0.0015996845926400383,0.44299674267100975
RUT,ZZ1000,cn_ret_cc,us_in_1_2pct,387,0.0014357032944502129,0.002336668550100063,0.4082687338501292
RUT,ZZ1000,cn_ret_cc,us_ge_2pct,166,0.004434628033647848,0.004343822902465266,0.39759036144578314
RUT,ZZ1000,cn_ret_oc,us_le_-2pct,157,0.003016100888664022,0.0036092262764719774,0.42038216560509556
RUT,ZZ1000,cn_ret_oc,us_in_-2_-1pct,332,0.0010061807065382556,0.0021076564775767137,0.4246987951807229
RUT,ZZ1000,cn_ret_oc,us_in_-1_0pct,799,0.0017320714290190522,0.0014947806109106843,0.43429286608260326
RUT,ZZ1000,cn_ret_oc,us_in_0_1pct,921,0.0009691134669763026,0.0017015756934122273,0.4386536373507057
RUT,ZZ1000,cn_ret_oc,us_in_1_2pct,387,0.00018561245691681727,0.0009254326503940202,0.4470284237726098
RUT,ZZ1000,cn_ret_oc,us_ge_2pct,166,0.0003291555982617119,0.0012427159282495381,0.45180722891566266
RUT,SSE50,cn_ret_cc,us_le_-2pct,157,-0.006846573700674936,-0.005387119502159976,0.6878980891719745
RUT,SSE50,cn_ret_cc,us_in_-2_-1pct,332,-0.0021840663142306802,-0.0020483006291037165,0.5843373493975904
RUT,SSE50,cn_ret_cc,us_in_-1_0pct,799,-8.097919861833552e-05,-8.799124335434616e-05,0.5056320400500626
RUT,SSE50,cn_ret_cc,us_in_0_1pct,921,0.0013929452889266851,0.0006571966929169726,0.4733984799131379
RUT,SSE50,cn_ret_cc,us_in_1_2pct,387,0.0009511308620623304,0.00163082331584663,0.4134366925064599
RUT,SSE50,cn_ret_cc,us_ge_2pct,166,0.0033608349827584437,0.0029425057705680935,0.4036144578313253
RUT,SSE50,cn_ret_oc,us_le_-2pct,157,0.001777600255945752,0.001243834823366985,0.47770700636942676
RUT,SSE50,cn_ret_oc,us_in_-2_-1pct,332,0.0007472463639114518,0.00041016746851074704,0.4819277108433735
RUT,SSE50,cn_ret_oc,us_in_-1_0pct,799,0.0005981364626494948,-5.13401304038652e-05,0.5056320400500626
RUT,SSE50,cn_ret_oc,us_in_0_1pct,921,0.001085060919515757,0.0004833287053209734,0.4744842562432139
RUT,SSE50,cn_ret_oc,us_in_1_2pct,387,-0.0003191160245209708,6.062685278807045e-05,0.49870801033591733
RUT,SSE50,cn_ret_oc,us_ge_2pct,166,-0.0010251656463940253,-0.0008988671200966247,0.5542168674698795
